 1000     4.684888     3.439889
 1010     4.425679     3.439353
 1020     4.437139     3.438892
 1030     4.439487     3.438274
 1040     4.327338     3.437714
 1050     4.258690     3.437019
 1060     4.246426     3.436146
 1070     4.218908     3.435463
 1080     4.113413     3.434650
 1090     3.989630     3.434040
 1100     3.766920     3.433170
 1110     3.987934     3.432174
 1120     4.022117     3.431173
 1130     4.054984     3.430402
 1140     3.974333     3.429363
 1150     4.036099     3.428653
 1160     4.068716     3.427536
 1170     4.105856     3.426473
 1180     4.145802     3.425189
 1190     4.158762     3.423773
 1200     4.189183     3.422329
 1210     4.255493     3.420976
 1220     4.275912     3.419664
 1230     4.242653     3.418604
 1240     4.327208     3.417639
 1250     4.181996     3.417049
 1260     4.307811     3.416669
 1270     4.420732     3.416211
 1280     4.198055     3.415902
 1290     4.226725     3.415451
 1300     4.199403     3.415108
 1310     4.114891     3.414596
 1320     4.167623     3.414211
 1330     4.180463     3.414008
 1340     4.208829     3.413986
 1350     4.132450     3.414103
 1360     4.112326     3.414238
 1370     4.183812     3.414390
 1380     4.161132     3.414406
 1390     4.043612     3.414727
 1400     4.152456     3.414802
 1410     3.993784     3.415062
 1420     4.026945     3.415454
 1430     4.164372     3.415767
 1440     4.149825     3.416282
 1450     4.234042     3.416796
 1460     4.151901     3.417292
 1470     4.246263     3.417455
 1480     4.273607     3.417435
 1490     4.288089     3.417678
 1500     4.293993     3.417963
 1510     4.258364     3.418313
 1520     4.182985     3.418762
 1530     4.251721     3.418923
 1540     4.353269     3.418897
 1550     4.560280     3.418837
 1560     4.666688     3.418756
 1570     4.734108     3.418749
 1580     4.807203     3.418792
 1590     4.742599     3.418977
 1600     4.765605     3.419106
 1610     4.654185     3.419119
 1620     4.526934     3.419192
 1630     4.780957     3.419826
 1640     4.589418     3.420291
 1650     4.689303     3.420884
 1660     4.634603     3.421362
 1670     4.719006     3.422055
 1680     4.453230     3.422862
 1690     4.356509     3.423417
 1700     4.239837     3.424320
 1710     4.189150     3.425032
 1720     4.221756     3.425945
 1730     4.311595     3.426976
 1740     4.220941     3.427923
 1750     4.255917     3.428860
 1760     4.277401     3.430165
 1770     4.243197     3.431246
 1780     4.219691     3.432288
 1790     4.275770     3.433347
 1800     4.319695     3.434425
 1810     4.229617     3.435556
 1820     4.248492     3.436717
 1830     4.205883     3.437508
 1840     4.222583     3.438200
 1850     4.221604     3.438893
 1860     4.190520     3.439480
 1870     4.167764     3.440147
 1880     4.228073     3.440445
 1890     3.964319     3.440821
 1900     3.959394     3.441043
 1910     3.903662     3.441260
 1920     3.773737     3.441315
 1930     3.820532     3.441591
 1940     3.851333     3.441703
 1950     3.620795     3.441773
 1960     3.584220     3.441814
 1970     3.628297     3.441670
 1980     3.696923     3.441660
 1990     3.710199     3.441887
 2000     3.822315     3.441838
 2010     3.822500     3.442035
 2020     3.661751     3.442313
 2030     3.779869     3.442667
 2040     3.726649     3.443048
 2050     3.808605     3.443469
 2060     3.665133     3.444061
 2070     3.526781     3.444753
 2080     3.460057     3.445423
 2090     3.488108     3.445985
 2100     3.661545     3.446792
 2110     3.526792     3.447634
 2120     3.499187     3.448581
 2130     3.460764     3.449323
 2140     3.359618     3.450268
 2150     3.322010     3.451106
 2160     3.370642     3.452069
 2170     3.356204     3.452748
 2180     3.324674     3.453543
 2190     3.202599     3.454343
 2200     2.977105     3.455102
 2210     2.929592     3.455650
 2220     2.987053     3.456191
 2230     3.017289     3.456607
 2240     2.922123     3.456779
 2250     3.175983     3.456539
 2260     3.068487     3.456014
 2270     2.969451     3.455356
 2280     3.119088     3.454629
 2290     3.238238     3.453979
 2300     3.184344     3.453602
 2310     3.227953     3.453497
 2320     3.156380     3.453336
 2330     3.142485     3.453314
 2340     3.131373     3.453342
 2350     3.054940     3.453103
 2360     3.019029     3.452961
 2370     3.008537     3.452641
 2380     2.919111     3.452340
 2390     3.019333     3.451852
 2400     2.852594     3.451216
 2410     2.886472     3.450489
 2420     2.828772     3.449695
 2430     2.696368     3.448897
 2440     2.786751     3.447970
 2450     2.831893     3.447049
 2460     2.862520     3.446239
 2470     2.811464     3.445539
 2480     2.697706     3.444853
 2490     2.650204     3.444349
 2500     2.605584     3.443879
 2510     2.602431     3.443451
 2520     2.584448     3.443270
 2530     2.701533     3.443137
 2540     2.610389     3.443214
 2550     2.600637     3.443454
 2560     2.568520     3.443334
 2570     2.549797     3.443146
 2580     2.517311     3.442833
 2590     2.506188     3.442593
 2600     2.326021     3.442358
 2610     2.316128     3.442232
 2620     2.441302     3.442047
 2630     2.144637     3.441641
 2640     2.268952     3.441398
 2650     2.383852     3.441168
 2660     2.525867     3.440977
 2670     2.364325     3.440775
 2680     2.568465     3.440416
 2690     2.489575     3.440168
 2700     2.531466     3.440209
 2710     2.600093     3.440182
 2720     2.559104     3.440204
 2730     2.514560     3.440155
 2740     2.505808     3.440179
 2750     2.653335     3.440184
 2760     2.704827     3.439948
 2770     2.746001     3.439909
 2780     3.012984     3.439741
 2790     2.968940     3.439504
 2800     2.799015     3.439221
 2810     2.870805     3.438775
 2820     2.903509     3.438156
 2830     2.926755     3.437786
 2840     2.947575     3.437343
 2850     2.895801     3.436782
 2860     2.818063     3.436219
 2870     2.720462     3.435582
 2880     2.835416     3.435148
 2890     2.874948     3.434605
 2900     2.785098     3.434151
 2910     2.842515     3.434004
 2920     2.766941     3.433807
 2930     2.792589     3.433465
 2940     2.819911     3.432987
 2950     2.826207     3.432495
 2960     2.922884     3.431842
 2970     2.991685     3.431210
 2980     2.903825     3.430482
 2990     2.886396     3.429588
